treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Social Norm,125,xf7pyh82,169,169,A_Planet3_ES,End,18:04.6,1,ES,169,1,0,0,,1,0,2,0,48,0,,0,0,,2,1,2,1,1,0,,3,4,2,uln4i2w2
Baseline,126,230y2x7c,169,169,A_Planet3_ES,End,13:21.3,1,ES,83,1,1,0,4,0,2,2,2,73,1,,0,3,,1,2,0,,4,1,,4,5,2,uln4i2w2
Pollution,127,ikggdxke,169,169,A_Planet3_ES,End,53:43.3,1,ES,83,1,1,0,4,1,1,2,2,81,0,,0,5,,1,1,0,,3,0,,3,4,3,uln4i2w2
Public Services,128,2s5j0zxj,169,169,A_Planet3_ES,End,19:02.4,1,ES,88,1,1,0,4,0,1,1,2,73,1,,0,3,,0,2,0,,0,0,,2,5,4,uln4i2w2
Road Pricing,129,xyklbkdg,169,169,A_Planet3_ES,End,52:01.7,1,ES,99,1,1,1,4,0,0,2,0,73,0,,0,0,,1,1,1,1,4,1,,3,4,3,uln4i2w2
Social Norm,130,4tw3gwgv,169,169,A_Planet3_ES,End,45:53.3,1,ES,80,0,2,,3,0,1,2,4,95,4,,2,2,,1,0,1,,0,0,,2,4,4,uln4i2w2
Baseline,131,uc0t2qo5,169,169,A_Planet3_ES,End,33:39.0,1,ES,84,1,0,0,,0,0,2,0,139,0,,2,8,,2,0,1,1,0,1,,2,4,3,uln4i2w2
Pollution,132,fuj3ub9q,169,169,A_Planet3_ES,End,43:59.7,1,ES,73,1,1,0,4,0,1,1,2,73,1,,0,5,,2,0,0,,6,0,,2,4,3,uln4i2w2
Public Services,133,s8o9n3p1,169,169,A_Planet3_ES,End,03:22.7,1,ES,83,0,1,0,4,0,2,0,2,64,1,,1,4,,1,2,0,,3,0,,3,4,3,uln4i2w2
Road Pricing,134,j4sbb0ov,169,169,A_Planet3_ES,End,11:34.4,1,ES,92,1,0,0,,1,2,2,0,82,0,,0,6,,1,0,0,,3,1,,3,5,3,uln4i2w2
Social Norm,135,hdvmjrl0,169,169,A_Planet3_ES,End,12:47.5,1,ES,156,1,2,,4,0,2,2,2,64,1,,0,2,,1,3,3,,1,3,,3,4,3,uln4i2w2
Baseline,136,ygq2rbch,169,169,A_Planet3_ES,End,46:32.4,1,ES,81,1,0,1,,0,2,2,0,6,0,,0,0,,0,3,3,1,0,1,,3,3,2,uln4i2w2
Pollution,137,iua0kr3o,169,169,A_Planet3_ES,End,26:11.6,1,ES,82,1,2,,0,2,2,2,0,8,0,,0,2,,0,2,2,,0,1,,1,4,4,uln4i2w2
Public Services,138,g0rid3nm,169,169,A_Planet3_ES,End,26:13.3,1,ES,87,1,1,0,4,2,1,2,2,87,6,,0,5,,1,0,0,,2,1,,2,4,4,uln4i2w2
Road Pricing,139,ha59x5xj,169,169,A_Planet3_ES,End,26:14.0,1,ES,94,1,1,0,4,0,2,2,0,5,0,,0,0,,1,0,1,1,3,1,,3,4,3,uln4i2w2
Social Norm,140,nxuvgudh,169,169,A_Planet3_ES,End,40:52.7,1,ES,84,1,0,0,,2,2,2,0,85,0,,0,0,,1,1,0,1,2,2,,3,4,4,uln4i2w2
Baseline,141,wat5ykjw,169,169,A_Planet3_ES,End,22:44.1,1,ES,8,1,1,0,2,0,2,0,2,73,1,,0,0,,2,2,2,1,3,2,,3,4,3,uln4i2w2
Pollution,142,cg7odc0d,169,169,A_Planet3_ES,End,54:30.1,1,ES,81,1,0,0,,0,2,1,2,64,1,,0,4,,0,0,1,,0,0,,3,4,2,uln4i2w2
Public Services,143,jf155q1k,169,169,A_Planet3_ES,End,04:56.7,1,ES,95,1,2,,4,1,2,2,0,8,0,,0,3,,2,1,2,,1,0,,3,5,3,uln4i2w2
Road Pricing,144,ualit105,169,169,A_Planet3_ES,End,31:30.0,1,ES,94,1,0,0,,1,0,1,0,94,0,,0,0,,1,0,1,1,2,0,,1,3,4,uln4i2w2
Baseline,146,dli4uco2,169,169,A_Planet3_ES,End,58:57.1,1,ES,98,1,1,1,2,0,2,2,0,81,0,,0,2,,0,1,1,,3,1,,4,6,3,uln4i2w2
Pollution,147,k32enl63,169,169,A_Planet3_ES,End,16:19.5,1,ES,99,1,0,1,,1,0,1,2,64,1,,0,0,,0,1,2,1,2,0,,4,5,2,uln4i2w2
Public Services,148,al9l66sd,169,169,A_Planet3_ES,End,13:01.0,1,ES,83,0,1,1,4,0,2,2,2,64,1,,2,4,,0,2,0,,2,0,,2,5,4,uln4i2w2
Road Pricing,149,xn9ipvip,169,169,A_Planet3_ES,End,54:00.6,1,ES,44,1,1,0,0,1,2,2,0,74,0,,0,2,,0,2,1,,1,0,,3,4,3,uln4i2w2
Social Norm,150,p5anjbks,169,169,A_Planet3_ES,End,45:26.7,1,ES,78,1,0,1,,0,0,1,2,73,1,,0,0,,1,0,2,1,4,1,,1,4,3,uln4i2w2
Baseline,151,pyvwc9dp,169,169,A_Planet3_ES,End,57:13.0,1,ES,143,1,0,1,,2,2,2,0,43,2,,0,0,,2,1,1,1,2,2,,4,4,3,uln4i2w2
Pollution,152,ednmwqsq,169,169,A_Planet3_ES,End,07:55.2,1,ES,72,1,1,1,1,2,2,2,2,121,1,,0,0,,2,0,1,1,1,0,,1,4,4,uln4i2w2
Public Services,153,kxuu2bs4,169,169,A_Planet3_ES,End,56:40.5,1,ES,166,1,1,1,0,0,0,0,2,143,6,,2,8,,2,0,1,1,2,1,,2,3,2,uln4i2w2
Road Pricing,154,h8f8w5um,169,169,A_Planet3_ES,End,56:14.4,1,ES,81,1,0,1,,0,1,1,0,6,5,,0,4,,2,1,1,,0,0,,3,4,3,uln4i2w2
Social Norm,155,yucwbaou,169,169,A_Planet3_ES,End,30:09.2,1,ES,89,1,1,1,4,2,2,2,0,84,2,,0,3,,0,2,1,,0,0,,1,4,4,uln4i2w2
Baseline,156,n80pv3ck,169,169,A_Planet3_ES,End,01:31.0,1,ES,64,1,0,0,,0,2,2,0,92,0,,0,3,,0,2,0,,0,1,,2,4,4,uln4i2w2
Pollution,157,7nlvytby,169,169,A_Planet3_ES,End,01:03.4,1,ES,17,0,2,,3,2,1,2,5,5,3,,3,3,,0,0,3,,4,3,,6,6,4,uln4i2w2
Public Services,158,m9zvgyzs,169,169,A_Planet3_ES,End,49:34.4,1,ES,130,1,1,1,4,2,2,2,2,83,1,,1,2,,1,2,1,,0,0,,3,4,3,uln4i2w2
Road Pricing,159,b2j3paqm,169,169,A_Planet3_ES,End,45:18.4,1,ES,6,1,2,,4,2,1,0,2,88,1,,0,2,,1,0,0,,2,1,,4,5,2,uln4i2w2
Social Norm,160,vdln2n3p,169,169,A_Planet3_ES,End,04:09.9,1,ES,57,1,1,1,4,0,2,2,2,57,6,,2,5,,1,0,1,,2,0,,2,4,3,uln4i2w2
Baseline,161,u4g1gko4,169,169,A_Planet3_ES,End,32:30.2,1,ES,81,1,2,,4,2,2,2,2,90,2,,0,4,,0,1,3,,3,1,,2,4,4,uln4i2w2
Pollution,162,raou7epo,169,169,A_Planet3_ES,End,27:43.7,1,ES,80,0,1,0,4,2,2,2,2,64,1,,1,2,,1,0,0,,4,2,,4,5,2,uln4i2w2
Public Services,163,rvot49f7,169,169,A_Planet3_ES,End,06:55.6,1,ES,176,1,1,0,0,0,2,2,2,81,7,Ir al psicólogo,2,4,,0,2,3,,2,0,,3,4,4,uln4i2w2
Social Norm,165,tw781squ,169,169,A_Planet3_ES,End,18:33.0,1,ES,88,1,0,0,,2,2,2,2,73,1,,0,0,,1,1,2,1,4,2,,3,5,3,uln4i2w2
Baseline,166,8yy8lbem,169,169,A_Planet3_ES,End,36:09.2,1,ES,87,1,1,1,4,0,2,2,2,90,0,,0,0,,1,1,2,1,4,2,,1,4,3,uln4i2w2
Pollution,167,2laod51g,169,169,A_Planet3_ES,End,14:05.9,1,ES,176,1,1,1,4,0,2,2,2,99,0,,0,0,,1,1,3,0,1,1,,1,4,4,uln4i2w2
Public Services,168,eyjtzeox,169,169,A_Planet3_ES,End,48:53.3,1,ES,88,1,1,1,4,0,2,2,2,73,1,,0,4,,1,2,0,,10,,No disponibilidad de coche y muy lejos para ir en coche o andando,4,4,3,uln4i2w2
Road Pricing,169,7z0h7kdw,169,169,A_Planet3_ES,End,14:28.5,1,ES,176,1,0,1,,0,2,2,1,64,0,,0,0,,0,1,3,0,4,2,,1,4,3,uln4i2w2
Social Norm,170,ndxtxxft,169,169,A_Planet3_ES,End,27:20.5,1,ES,85,1,1,1,4,2,2,2,0,81,0,,0,3,,0,1,1,,0,0,,2,4,3,uln4i2w2
Baseline,171,dqw6kryc,169,169,A_Planet3_ES,End,30:16.3,1,ES,78,1,1,0,4,1,2,2,0,48,0,,0,0,,1,1,2,1,4,2,,2,4,3,uln4i2w2
Pollution,172,lxk5jg4h,169,169,A_Planet3_ES,End,13:33.0,1,ES,78,0,1,1,4,0,1,0,2,73,1,,0,4,,0,2,1,,0,1,,3,4,3,uln4i2w2
Public Services,173,7gij7cjw,169,169,A_Planet3_ES,End,14:11.7,1,ES,73,0,2,,4,1,2,2,2,91,6,,2,4,,1,1,1,,3,1,,2,4,3,uln4i2w2
Road Pricing,174,2k427npd,169,169,A_Planet3_ES,End,38:40.9,1,ES,84,1,1,0,4,1,2,2,0,81,0,,0,0,,2,0,2,1,3,1,,4,5,3,uln4i2w2
Social Norm,175,2yc6rfw3,169,169,A_Planet3_ES,End,28:27.5,1,ES,139,1,1,1,4,0,2,2,0,93,0,,0,2,,0,1,0,,3,1,,4,5,3,uln4i2w2
Baseline,176,gymz3qag,169,169,A_Planet3_ES,End,29:57.8,1,ES,91,1,1,1,4,1,2,2,2,64,1,,0,4,,1,2,1,,0,0,,3,5,5,uln4i2w2
Pollution,177,dejwknyd,169,169,A_Planet3_ES,End,16:56.8,1,ES,93,1,1,0,4,0,2,2,0,162,0,,0,1,,0,1,3,1,2,2,,6,5,3,uln4i2w2
Public Services,178,bzwht5ou,169,169,A_Planet3_ES,End,04:37.5,1,ES,6,1,1,1,2,1,2,2,2,73,1,,1,2,,2,0,0,,3,0,,3,5,5,uln4i2w2
Road Pricing,179,hsqyb82x,169,169,A_Planet3_ES,End,42:53.3,1,ES,85,0,2,,4,1,2,2,2,73,1,,0,4,,1,3,0,,3,1,,2,4,3,uln4i2w2
Social Norm,180,k0ws2aur,169,169,A_Planet3_ES,End,00:26.2,1,ES,81,1,0,0,,0,1,2,2,81,0,,0,6,,0,0,0,,2,1,,4,3,4,uln4i2w2
Baseline,181,2g5n7pyg,169,169,A_Planet3_ES,End,33:25.2,1,ES,6,1,1,0,2,0,2,2,0,82,0,,0,3,,0,2,0,,0,0,,2,5,4,uln4i2w2
Pollution,182,g48dixz6,169,169,A_Planet3_ES,End,41:41.0,1,ES,91,1,1,2,4,1,2,2,0,111,6,,0,2,,1,3,1,,0,0,,4,5,2,uln4i2w2
Public Services,183,fwfuqj1n,169,169,A_Planet3_ES,End,50:28.6,1,ES,139,1,0,1,,0,0,2,1,73,1,,1,0,,1,1,2,1,8,0,,3,4,3,uln4i2w2
Road Pricing,184,gtdje6cr,169,169,A_Planet3_ES,End,19:41.0,1,ES,92,1,0,0,,1,1,1,0,85,0,,0,0,,1,1,1,1,4,1,,1,5,4,uln4i2w2
Social Norm,185,3eul560y,169,169,A_Planet3_ES,End,14:00.8,1,ES,6,1,1,1,4,0,2,1,0,6,4,,2,0,,2,0,0,1,1,0,,3,4,3,uln4i2w2
Baseline,186,0cs54xye,169,169,A_Planet3_ES,End,06:59.8,1,ES,80,0,2,,4,2,2,2,0,81,0,,0,3,,0,1,2,,1,0,,2,4,4,uln4i2w2
Pollution,187,eylqxj71,169,169,A_Planet3_ES,End,34:20.2,1,ES,48,1,1,0,4,0,2,2,2,48,6,,2,6,,1,1,0,,2,1,,3,5,3,uln4i2w2
Public Services,188,ruyh9n6b,169,169,A_Planet3_ES,End,23:53.9,1,ES,84,1,1,0,4,1,2,2,2,73,1,,0,3,,1,3,0,,0,0,,3,4,3,uln4i2w2
Road Pricing,189,8pynl7ss,169,169,A_Planet3_ES,End,10:56.7,1,ES,78,1,1,0,4,2,2,2,1,80,6,,1,5,,1,1,1,,3,1,,1,5,4,uln4i2w2
Social Norm,190,59n20b5h,169,169,A_Planet3_ES,End,27:05.9,1,ES,60,1,1,0,4,2,2,2,2,166,6,,2,0,,2,0,1,1,2,2,,2,4,2,uln4i2w2
Baseline,191,j2mq41ck,169,169,A_Planet3_ES,End,12:21.9,1,ES,84,1,1,0,0,1,2,2,2,85,1,,0,4,,1,2,3,,0,0,,3,4,4,uln4i2w2
Pollution,192,1ikxvt4t,169,169,A_Planet3_ES,End,35:12.9,1,ES,81,1,0,0,,0,2,2,5,82,0,,0,0,,1,1,1,1,8,0,,1,3,2,uln4i2w2
Public Services,193,kmuqcxnd,169,169,A_Planet3_ES,End,42:00.5,1,ES,44,1,0,0,,0,2,2,0,84,0,,0,3,,0,1,0,,2,0,,4,3,3,uln4i2w2
Road Pricing,194,zzfp66nz,169,169,A_Planet3_ES,End,12:29.1,1,ES,98,1,0,0,,1,2,2,2,88,1,,2,1,,1,0,2,1,0,1,,4,3,3,uln4i2w2
Social Norm,195,rzj1zkde,169,169,A_Planet3_ES,End,37:10.1,1,ES,64,1,1,1,4,0,2,2,2,81,6,,2,4,,1,1,1,,2,1,,1,4,3,uln4i2w2
Baseline,196,8h261v8y,169,169,A_Planet3_ES,End,05:13.6,1,ES,81,1,2,,4,1,2,2,2,83,1,,1,5,,2,0,0,,6,0,,2,3,3,uln4i2w2
Pollution,197,kehx30i1,169,169,A_Planet3_ES,End,27:47.8,1,ES,94,0,1,1,4,2,2,2,2,73,1,,0,4,,0,2,0,,10,,No hay un camino que me ahorre el suficiente tiempo en comparación a los gastos y comodidad,2,4,5,uln4i2w2
Public Services,198,h954glar,169,169,A_Planet3_ES,End,34:56.3,1,ES,44,0,1,1,4,2,2,2,2,81,0,,0,2,,1,3,0,,0,1,,3,5,4,uln4i2w2
Road Pricing,199,rf36vzrz,169,169,A_Planet3_ES,End,09:41.9,1,ES,73,1,2,,4,2,2,2,0,81,0,,0,4,,1,2,0,,8,3,,4,5,2,uln4i2w2
Social Norm,200,zx9q6r8j,169,169,A_Planet3_ES,End,24:48.8,1,ES,81,0,2,,4,0,2,2,2,73,0,,0,2,,2,1,1,,4,2,,5,3,3,uln4i2w2
Baseline,201,zuchyshq,169,169,A_Planet3_ES,End,38:43.1,1,ES,97,1,0,1,,0,0,1,0,64,0,,0,8,,2,0,1,1,0,0,,4,5,3,uln4i2w2
Pollution,202,usw0ho0w,169,169,A_Planet3_ES,End,12:36.2,1,ES,64,1,1,0,4,2,2,2,2,64,1,,1,2,,2,0,0,,0,0,,4,3,2,uln4i2w2
Public Services,203,yg0u2s29,169,169,A_Planet3_ES,End,47:27.5,1,ES,46,0,2,,4,1,2,2,2,64,1,,2,3,,0,3,0,,1,0,,1,4,3,uln4i2w2
Road Pricing,204,icyy4gj9,169,169,A_Planet3_ES,End,59:55.9,1,ES,45,1,1,1,4,0,1,2,2,73,1,,0,0,,1,2,3,1,4,2,,3,5,4,uln4i2w2
Social Norm,205,ofovwmcu,169,169,A_Planet3_ES,End,50:24.9,1,ES,89,1,0,1,,2,2,2,2,64,1,,1,0,,1,1,3,1,3,2,,3,5,3,uln4i2w2
Baseline,206,ej6rauep,169,169,A_Planet3_ES,End,20:55.9,1,ES,73,1,1,1,4,0,1,2,2,82,0,,0,4,,0,3,0,,1,0,,3,4,3,uln4i2w2
Pollution,207,2jujl8yx,169,169,A_Planet3_ES,End,11:08.7,1,ES,6,1,0,1,,0,2,2,0,83,0,,0,3,,0,1,0,,2,1,,3,5,3,uln4i2w2
Public Services,208,3zckjiwm,169,169,A_Planet3_ES,End,08:43.6,1,ES,91,1,1,3,2,0,1,2,2,91,7,Lugar de estudio,0,5,,2,0,1,,8,1,,3,4,3,uln4i2w2
Road Pricing,209,99uvy2a3,169,169,A_Planet3_ES,End,28:05.1,1,ES,57,1,1,0,4,0,2,2,2,64,1,,0,3,,1,1,1,,0,1,,3,4,3,uln4i2w2
Social Norm,210,1p5o9whu,169,169,A_Planet3_ES,End,23:00.6,1,ES,64,1,0,1,,0,1,1,0,92,0,,0,4,,0,2,1,,0,1,,3,4,4,uln4i2w2
Baseline,211,4qwckjvh,169,169,A_Planet3_ES,End,09:26.6,1,ES,46,0,1,1,4,0,2,2,2,64,1,,0,2,,1,3,3,,1,0,,4,5,4,uln4i2w2
Pollution,212,nu61zd7a,169,169,A_Planet3_ES,End,20:42.4,1,ES,81,0,2,,4,0,1,1,2,73,1,,0,4,,0,0,1,,3,1,,3,5,3,uln4i2w2
Public Services,213,o7sv55mv,169,169,A_Planet3_ES,End,18:55.4,1,ES,90,1,1,1,4,0,2,2,0,79,0,,0,0,,2,0,1,1,8,1,,2,4,3,uln4i2w2
Road Pricing,214,xb5otfec,169,169,A_Planet3_ES,End,05:40.7,1,ES,176,1,0,0,,0,2,2,0,169,0,,0,4,,0,3,3,,0,0,,1,4,4,uln4i2w2
Social Norm,215,t0s3r5ft,169,169,A_Planet3_ES,End,55:10.1,1,ES,80,1,0,1,,0,2,2,0,80,0,,0,5,,2,0,0,,8,1,,3,5,3,uln4i2w2
Baseline,216,3wya37jq,169,169,A_Planet3_ES,End,18:42.8,1,ES,143,1,1,1,4,2,2,2,2,110,1,,1,0,,2,0,1,1,1,1,,4,5,2,uln4i2w2
Pollution,217,0j0hel02,169,169,A_Planet3_ES,End,08:25.6,1,ES,83,1,1,0,4,0,2,1,2,73,1,,0,3,,0,2,0,,1,0,,2,5,3,uln4i2w2
Public Services,218,j51480ug,169,169,A_Planet3_ES,End,09:14.7,1,ES,57,1,0,1,,0,1,2,2,73,1,,1,2,,1,2,1,,0,0,,3,4,3,uln4i2w2
Road Pricing,219,l8vd0017,169,169,A_Planet3_ES,End,07:20.2,1,ES,25,1,0,2,,0,2,2,4,25,4,,2,3,,1,2,4,,3,2,,2,5,2,uln4i2w2
Social Norm,220,z97sag0o,169,169,A_Planet3_ES,End,35:11.2,1,ES,80,1,2,,0,0,2,2,0,81,6,,3,6,,2,2,0,,7,0,,2,4,3,uln4i2w2
Baseline,221,xfy4mzya,169,169,A_Planet3_ES,End,55:12.0,1,ES,87,1,0,0,,0,2,2,0,94,0,,0,1,,0,1,2,1,3,2,,3,5,3,uln4i2w2
Pollution,222,f3cgwwti,169,169,A_Planet3_ES,End,31:45.5,1,ES,46,0,1,1,4,0,2,2,2,73,1,,0,2,,0,1,2,,1,0,,2,5,4,uln4i2w2
Public Services,223,1e3j5imf,169,169,A_Planet3_ES,End,43:11.6,1,ES,110,1,0,1,,2,1,1,0,81,0,,0,4,,0,1,2,,4,0,,4,3,3,uln4i2w2
Road Pricing,224,hcvx6gus,169,169,A_Planet3_ES,End,45:41.4,1,ES,89,0,1,1,4,0,2,2,2,64,1,,0,3,,0,2,0,,1,0,,3,5,3,uln4i2w2
Social Norm,225,8yxizjok,169,169,A_Planet3_ES,End,31:43.3,1,ES,78,1,1,1,4,0,2,2,0,83,0,,0,3,,1,2,0,,6,1,,2,4,3,uln4i2w2
Baseline,226,j89nbl9l,169,169,A_Planet3_ES,End,15:27.8,1,ES,80,0,2,,4,1,2,1,2,83,1,,0,3,,0,1,1,,2,0,,3,4,5,uln4i2w2
Pollution,227,uj5049u6,169,169,A_Planet3_ES,End,53:46.0,1,ES,92,1,1,1,4,2,2,1,0,5,0,,0,4,,0,2,1,,0,0,,3,5,3,uln4i2w2
Public Services,228,glhk1k70,169,169,A_Planet3_ES,End,00:38.1,1,ES,86,1,0,0,,1,2,1,4,92,4,,2,0,,1,0,1,1,2,1,,3,4,2,uln4i2w2
Road Pricing,229,xxzn41d8,169,169,A_Planet3_ES,End,12:21.8,1,ES,64,0,1,1,4,0,1,2,1,64,4,,2,5,,1,0,3,,6,0,,2,1,4,uln4i2w2
Social Norm,230,kyzxxm4v,169,169,A_Planet3_ES,End,21:09.5,1,ES,81,1,1,0,4,0,2,2,0,83,0,,2,3,,0,2,0,,4,1,,3,4,3,uln4i2w2
Baseline,231,2yh3thgx,169,169,A_Planet3_ES,End,19:09.8,1,ES,143,1,0,0,,0,2,2,2,64,1,,0,4,,0,3,2,,0,2,,4,5,2,uln4i2w2
Pollution,232,jmiiv7oa,169,169,A_Planet3_ES,End,15:15.4,1,ES,87,1,1,0,4,0,2,1,2,87,6,,3,2,,2,0,1,,5,1,,3,4,3,uln4i2w2
Public Services,233,qgz4zlpi,169,169,A_Planet3_ES,End,45:52.2,1,ES,91,1,1,1,4,0,2,2,0,82,0,,0,4,,1,1,0,,10,,La mejor opción es ir en tren y es la que actualmente uso. No hay una alternativa que tenga menos tiempo de duración,4,5,3,uln4i2w2
Road Pricing,234,zyp5jsph,169,169,A_Planet3_ES,End,35:46.9,1,ES,82,1,1,1,2,0,2,2,5,98,0,,0,0,,2,1,1,1,3,2,,3,1,3,uln4i2w2
Social Norm,235,3nruygk4,169,169,A_Planet3_ES,End,21:17.6,1,ES,64,1,1,1,4,0,2,2,2,73,1,,0,2,,1,0,1,,4,1,,2,5,3,uln4i2w2
Baseline,236,4e3evrex,169,169,A_Planet3_ES,End,10:26.9,1,ES,89,1,1,1,4,0,2,2,2,64,1,,0,3,,0,2,0,,4,1,,3,5,3,uln4i2w2
Pollution,237,dtsnstom,169,169,A_Planet3_ES,End,02:10.7,1,ES,196,1,0,0,,0,2,0,5,21,4,,0,0,,1,0,1,1,8,1,,2,3,4,uln4i2w2
Public Services,238,qczkxony,169,169,A_Planet3_ES,End,26:08.5,1,ES,88,1,1,1,4,2,2,2,2,64,1,,1,3,,1,2,2,,0,0,,3,4,3,uln4i2w2
Road Pricing,239,l32fjokr,169,169,A_Planet3_ES,End,42:07.1,1,ES,81,1,1,1,4,2,2,2,2,87,1,,0,2,,1,0,0,,3,0,,4,4,3,uln4i2w2
Social Norm,240,43ka5pq8,169,169,A_Planet3_ES,End,38:14.4,1,ES,139,1,1,1,4,0,2,2,0,139,0,,2,2,,2,0,0,,0,0,,1,4,3,uln4i2w2
Baseline,241,31icrenz,169,169,A_Planet3_ES,End,56:07.9,1,ES,64,1,1,1,4,0,0,2,2,73,1,,0,8,,2,0,1,1,2,0,,2,4,3,uln4i2w2
Pollution,242,8wlnfqgh,169,169,A_Planet3_ES,End,13:15.2,1,ES,95,0,2,,4,2,2,2,3,78,4,,1,2,,0,1,1,,1,2,,1,5,4,uln4i2w2
Public Services,243,w2ri2ul8,169,169,A_Planet3_ES,End,33:04.8,1,ES,143,1,0,0,,0,0,2,2,73,1,,0,0,,0,2,3,1,4,2,,1,5,4,uln4i2w2
Road Pricing,244,1gvw8q3t,169,169,A_Planet3_ES,End,07:12.8,1,ES,82,1,1,0,4,0,2,2,5,81,4,,2,3,,1,0,0,,6,0,,4,3,3,uln4i2w2
Social Norm,245,y7eawb8n,169,169,A_Planet3_ES,End,52:40.5,1,ES,91,1,1,2,4,2,2,2,2,73,1,,1,4,,1,0,0,,0,1,,3,5,2,uln4i2w2
Baseline,246,b9pu3vjx,169,169,A_Planet3_ES,End,45:12.3,1,ES,139,1,1,0,4,1,2,1,2,73,1,,0,2,,0,3,3,,4,0,,3,4,2,uln4i2w2
Pollution,247,rfapg1hp,169,169,A_Planet3_ES,End,45:18.0,1,ES,94,1,2,,4,0,2,2,0,85,5,,2,2,,2,0,0,,3,0,,2,4,3,uln4i2w2
Public Services,248,675xccow,169,169,A_Planet3_ES,End,09:45.2,1,ES,81,1,0,1,,1,2,1,1,82,6,,0,3,,0,1,1,,0,0,,1,4,4,uln4i2w2
Road Pricing,249,x5lr3yks,169,169,A_Planet3_ES,End,29:24.4,1,ES,10,0,1,3,3,2,1,1,4,8,3,,1,3,,2,1,0,,5,3,,6,6,4,uln4i2w2
Social Norm,250,absgb5uj,169,169,A_Planet3_ES,End,16:53.2,1,ES,6,1,0,2,,0,2,2,0,83,0,,0,3,,2,1,0,,2,1,,2,5,3,uln4i2w2
Baseline,251,1d0poo9h,169,169,A_Planet3_ES,End,39:42.8,1,ES,95,1,1,0,4,0,2,2,2,95,0,,0,5,,2,0,0,,2,0,,1,4,3,uln4i2w2
Pollution,252,xiq7fltm,169,169,A_Planet3_ES,End,15:22.4,1,ES,99,1,1,1,4,2,2,2,2,73,1,,0,2,,1,3,3,,0,3,,4,5,3,uln4i2w2
Public Services,253,iv701z17,169,169,A_Planet3_ES,End,23:21.7,1,ES,64,1,1,0,4,2,2,2,0,5,0,,0,3,,1,3,0,,0,1,,4,3,3,uln4i2w2
Road Pricing,254,kevmuj1h,169,169,A_Planet3_ES,End,49:13.1,1,ES,78,1,1,0,4,1,2,0,2,73,1,,1,0,,1,1,1,1,4,2,,5,3,3,uln4i2w2
Social Norm,255,tf5jk4n7,169,169,A_Planet3_ES,End,05:30.0,1,ES,91,1,1,1,4,2,0,1,2,92,0,,0,3,,0,0,0,,8,0,,3,4,2,uln4i2w2
Baseline,256,7ezg3uk8,169,169,A_Planet3_ES,End,22:10.0,1,ES,90,0,1,0,4,2,2,2,1,93,0,,0,2,,2,2,1,,3,2,,4,3,5,uln4i2w2
Pollution,257,9iqp2x07,169,169,A_Planet3_ES,End,56:36.8,1,ES,80,1,1,1,4,0,2,2,2,4,1,,0,4,,1,3,1,,0,0,,3,5,3,uln4i2w2
Public Services,258,vywa3ivw,169,169,A_Planet3_ES,End,38:30.5,1,ES,21,1,0,0,,1,2,1,2,64,1,,0,0,,1,1,1,1,10,,"Tomar el transporte público significaría dedicar demasiado tiempo, mucho más del que tengo disponible, a desplazarme al destino en cuestión (más la vuelta), y de hecho adquirí el vehículo con el que viaje para realizar este trayecto en cuestión.",3,4,2,uln4i2w2
Road Pricing,259,n0j1ad5p,169,169,A_Planet3_ES,End,10:56.6,1,ES,88,1,1,1,4,1,2,2,1,78,7,Intercambiador Plza. Elíptica,0,3,,0,0,1,,10,,Metro es la mejor.,3,2,3,uln4i2w2
Social Norm,260,34wr3ho4,169,169,A_Planet3_ES,End,49:01.5,1,ES,81,1,1,1,4,1,2,2,2,73,1,,0,4,,1,1,0,,3,1,,3,4,3,uln4i2w2
Baseline,261,vshbi7qp,169,169,A_Planet3_ES,End,08:52.4,1,ES,88,1,0,1,,2,2,2,0,94,0,,0,3,,0,1,1,,5,2,,2,4,3,uln4i2w2
Pollution,262,xibdhyj2,169,169,A_Planet3_ES,End,57:03.9,1,ES,78,0,2,,4,2,2,2,0,83,0,,0,3,,0,1,0,,4,1,,3,5,2,uln4i2w2
Public Services,263,9xuydnwh,169,169,A_Planet3_ES,End,35:19.7,1,ES,86,1,1,0,4,0,2,2,2,64,1,,0,4,,0,3,0,,0,1,,2,4,5,uln4i2w2
Road Pricing,264,dfiaeh3q,169,169,A_Planet3_ES,End,00:43.8,1,ES,14,0,2,,4,2,2,0,2,10,5,,2,1,,2,4,3,1,7,1,,6,6,5,uln4i2w2
Social Norm,265,cqigxlf9,169,169,A_Planet3_ES,End,23:54.9,1,ES,86,1,1,0,4,2,2,2,2,86,6,,2,5,,2,0,0,,2,1,,3,5,3,uln4i2w2
